Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/5832.jpg,5832,EC-P8245BSWM,Connection Plate 45A Hanlight,BS & WH,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,17,51,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT BRUSHED STEEL
 Location = G/1B06"
img/5833.jpg,5833,EC-P8245SCWM,Connection Plate 45A Hanlight,SC & WH,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,90,20,60,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT SATIN CHROME
 Location = G/1B05"
img/5834.jpg,5834,EC-P8245BSBM,Connection Plate 45A Hanlight,BS & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,18,54,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT BRUSHED STEEL
 Location = G/1B06"
img/5835.jpg,5835,EC-P8245PCWM,Connection Plate 45A Hanlight,PC & WH,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,40,17,51,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT POLISHED CHROME 
 Location = G/1B02"
img/5836.jpg,5836,EC-P8245SCBM,Connection Plate 45A Hanlight,SC & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,29,20,60,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT CHROME SATIN 
 Location = G/1B06"
img/5837.jpg,5837,EC-P8245ABBM,Connection Plate 45A Hanlight,AG & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,20,60,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT ANTIQUE GOLD Black Insert
 Location = G/1B05"
img/5838.jpg,5838,C35-E27-CL-4W-WW,Candle Lamp LED ZODANISI/J&T,WW,E27/4W,LigAcc:Lam: LED,TERSEN TRADING CO. (L.L.C),Pcs,100,2.5,8,"Candle Lamp LED COEE /J&T ZODANISI Z-DS-4W-03 Tersen 4W AC 220-240V 50Hz C35 NON-Dimmable 2700K Warm White 
 Location = G/3E09"
img/5839.jpg,5839,TL-850-GU10-BK,Garden Light COEE GU10 TL-850,Black,1Way,LigFix:Out:Lan: Floor,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,20,60,"Garden Light GU10 Base With Cap COEE, GODN. IP65 YB D 6703 Material: Die-cast Aluminum, Glass. 220-240V 50-60HZ, Max Power 50W. 175x150mm Black Color Body ( Spike Type ). 5948 5928 5819 5976 5977
 Location = G/2C01"
img/5840.jpg,5840,CST-T8-IR-10W-DL,T8 LED Tube Fitting & Sens 10W,DL,60cm,LigAcc:Lam: LED,SHENZHEN CHINST ILLUMINATION CO LTD.,Pcs,91,20,60,"LED Prismatic Surface (PS) Fitting Lordex 10W With Tube Sensor. SMD2835 48LED. Frosted Cover & Aluminum Body. 600mm T8 Tube CST-T8-IR-10W ( 60cm - 2Feet - 2' ) Day Light Color 6500K 85-265V (1Connector & 2Wall Clip For One Fitting)
 Location = 3/5C01"
img/5841.jpg,5841,CST-T8-IR-10W-WW,T8 LED Tube Fitting & Sens 10W,WW,60cm,LigAcc:Lam: LED,SHENZHEN CHINST ILLUMINATION CO LTD.,Pcs,0,20,60,"LED Prismatic Surface (PS) Fitting Lordex 10W With Tube Sensor. SMD2835 48LED. Frosted Cover & Aluminum Body. 600mm T8 Tube CST-T8-IR-10W ( 60cm - 2Feet - 2' ) Warm White Color 3000K 85-265V (1Connector & 2Wall Clip For One Fitting)
 Location = 3/5C01"
img/5842.jpg,5842,CST-T8-IR-18W-DL,T8 LED Tube Fitting & Sens 18W,DL,120cm,LigAcc:Lam: Others,SHENZHEN CHINST ILLUMINATION CO LTD.,Pcs,257,26,78,"LED Prismatic Surface (PS) Fitting Lordex 18W With Tube Sensor. SMD2835 96LED. Frosted Cover & Aluminum Body. 1200mm T8 Tube CST-T8-IR-18W ( 120cm - 4Feet - 4' ) Day Light Color 6500K 85-265V (1Connector & 3Wall Clip For One Fitting)
 Location = 3/5C01"
